concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_DATE,valid_end_DATE,invalid_reason
2000011360,Caffeine Citrate 1 Syringe,Drug,mimiciv_drug_ndc,Prescription Drug,,Caffeine Citrate 1 Syringe,1970-01-01,2099-12-31,
2000010536,Acetaminophen,Drug,mimiciv_drug_ndc,Prescription Drug,,ACETAMINOPHEN (RECTAL) ,1970-01-01,2099-12-31,
2000011213,Melatonin 1 MG,Drug,mimiciv_drug_ndc,Prescription Drug,,melatonin 1,1970-01-01,2099-12-31,
2000011355,0.9% Sodium Chloride 100 mL Bag,Drug,mimiciv_drug_ndc,Prescription Drug,,0.9% Sodium Chloride 100 mL Bag,1970-01-01,2099-12-31,
2000010313,Vancomycin,Drug,mimiciv_drug_ndc,Prescription Drug,,Vancomycin ophthalmic 50mg/ml bottle,1970-01-01,2099-12-31,
2000010460,Erythromycin Ethylsuccinate 40 MG/ML Oral Suspension,Drug,mimiciv_drug_ndc,Prescription Drug,,Erythromycin Ethylsuccinate 200 mg/5 mL Oral Susp,1970-01-01,2099-12-31,
2000011121,Water,Drug,mimiciv_drug_ndc,Prescription Drug,,Water Water,1970-01-01,2099-12-31,
2000010216,Dutasteride 0.5 MG Oral Capsule,Drug,mimiciv_drug_ndc,Prescription Drug,,dutasteride 0.5 mg Cap,1970-01-01,2099-12-31,
2000010479,Labetalol,Drug,mimiciv_drug_ndc,Prescription Drug,,Labetalol ,1970-01-01,2099-12-31,
2000010468,Phenytoin sodium 50 MG/ML,Drug,mimiciv_drug_ndc,Prescription Drug,,Phenytoin Sodium 100mg/2mL Vial,1970-01-01,2099-12-31,
2000011144,Midazolam,Drug,mimiciv_drug_ndc,Prescription Drug,,Midazolam ,1970-01-01,2099-12-31,
2000010369,Metoprolol,Drug,mimiciv_drug_ndc,Prescription Drug,,Metoprolol Tartrate ,1970-01-01,2099-12-31,
2000010073,insulin detemir Injectable Solution [Levemir],Drug,mimiciv_drug_ndc,Prescription Drug,,Levemir insulin vial,1970-01-01,2099-12-31,
2000011027,Hydromorphone Injection [Dilaudid],Drug,mimiciv_drug_ndc,Prescription Drug,,Dilaudid 20 mg/ml,1970-01-01,2099-12-31,
