vocabulary_id,vocabulary_name,vocabulary_reference,vocabulary_version,vocabulary_concept_id
mimiciv_micro_organism,mimiciv_micro_organism,Odysseus generated,,2110000014
mimiciv_drug_route,mimiciv_drug_route,Odysseus generated,,2110000005
mimiciv_obs_insurance,mimiciv_obs_insurance,Odysseus generated,,2110000019
mimiciv_cond_chartevents_value,mimiciv_cond_chartevents_value,Odysseus generated,,2110000002
mimiciv_vis_admission_location,mimiciv_vis_admission_location,Odysseus generated,,2110000025
mimiciv_meas_wf_unit,mimiciv_meas_wf_unit,Odysseus generated,,2110000011
mimiciv_vis_discharge_location,mimiciv_vis_discharge_location,Odysseus generated,,2110000027
mimiciv_vis_admission_type,mimiciv_vis_admission_type,Odysseus generated,,2110000026
mimiciv_meas_wf,mimiciv_meas_wf,Odysseus generated,,2110000010
mimiciv_meas_chartevents_value,mimiciv_meas_chartevents_value,Odysseus generated,,2110000007
mimiciv_micro_resistance,mimiciv_micro_resistance,Odysseus generated,,2110000015
mimiciv_cs_place_of_service,mimiciv_cs_place_of_service,Odysseus generated,,2110000003
mimiciv_proc_itemid,mimiciv_proc_itemid,Odysseus generated,,2110000024
mimiciv_micro_antibiotic,mimiciv_micro_antibiotic,Odysseus generated,,2110000012
mimiciv_obs_drgcodes,mimiciv_obs_drgcodes,Odysseus generated,,2110000018
mimiciv_mimic_generated,mimiciv_mimic_generated,Odysseus generated,,2110000017
mimiciv_proc_datetimeevents,mimiciv_proc_datetimeevents,Odysseus generated,,2110000023
mimiciv_vis_service,mimiciv_vis_service,Odysseus generated,,2110000028
mimiciv_obs_marital,mimiciv_obs_marital,Odysseus generated,,2110000021
mimiciv_meas_lab_loinc,mimiciv_meas_lab_loinc,Odysseus generated,,2110000008
mimiciv_drug_ndc,mimiciv_drug_ndc,Odysseus generated,,2110000004
mimiciv_micro_microtest,mimiciv_micro_microtest,Odysseus generated,,2110000013
mimiciv_per_ethnicity,mimiciv_per_ethnicity,Odysseus generated,,2110000022
mimiciv_obs_language,mimiciv_obs_language,Odysseus generated,,2110000020
mimiciv_micro_specimen,mimiciv_micro_specimen,Odysseus generated,,2110000016
mimiciv_meas_unit,mimiciv_meas_unit,Odysseus generated,,2110000009
mimiciv_meas_chart,mimiciv_meas_chart,Odysseus generated,,2110000006
